id;$doctype;_rev;address;amount;areas/0;areas/1;areas/2;composition;counter;createdAt;datasetId;hashtags;isIncluded;location/latitude;location/longitude;name;origin;status;team;updatedAt;glass;ceramic/bricks;other;plastic;metal;biological/paper/wood;textiles/shoes/carpets;rubber/tyres;electronics;toxic/chemicals;car parts/vehicles;household;non-household;construction and demolition
0271dcc3-ee92-4bef-994c-a96a0f758dc5;trashpoint;2-176efeb495390b09311f310d577f4d55;Antananarivo, Lalana Razanakombana, 21;bagful;MG;;;,biological/paper/wood,plastic;1;13.09.2018 14:40;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9138493;47.5301507;Antananarivo, Lalana Razanakombana, 21;household,non-household,;threat;;13.09.2018 14:40;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
c210ed94-fcfa-4dc5-b231-b15d3e2a1aae;trashpoint;2-a151d499ce92304e9f0698e782d2b999;Tallinn, Ümera, 33;cartload;EE;EE.HA;;,rubber/tyres,textiles/shoes/carpets,biological/paper/wood,plastic,glass;1;13.09.2018 14:43;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;59.4454359236;24.8976568133;Tallinn, Ümera, 33;household;regular;;13.09.2018 14:43;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
a4d27960-4bf6-44a8-a701-7846ab89e7d1;trashpoint;2-be64a147e9c0ab9bcc043105af474a95;Craiova, DN65F;bagful;RO;RO.DJ;;,other;1;13.09.2018 14:45;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;44.3454720096;23.792190738;Craiova, DN65F;construction and demolition;regular;;13.09.2018 14:45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
93df95c6-e14e-415e-b989-a049468aba02;trashpoint;2-4d44b93444bd67a66f4b86091fd4417a;Tallinn, Ümera, 29a;cartload;EE;EE.HA;;,textiles/shoes/carpets,biological/paper/wood,plastic,glass;1;13.09.2018 14:47;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;59.4455901068;24.8957106192;Tallinn, Ümera, 29a;household;regular;;13.09.2018 14:47;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
93a83176-07ca-4b94-9120-9ad920cf8f3a;trashpoint;2-08790b0fe6c612ccc458b365dad6ea3e;Antananarivo, Lalana Razanakombana, 21;bagful;MG;;;,biological/paper/wood,plastic;1;13.09.2018 14:48;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9136378;47.5304575;Antananarivo, Lalana Razanakombana, 21;household;regular;;13.09.2018 14:48;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
5ce30795-c3b7-47f9-adbe-65c6add8f3b2;trashpoint;2-8ce5c967ad5614217271f29fd690860c;Antananarivo, Lalana Pasteur Rabary;cartload;MG;;;,textiles/shoes/carpets,biological/paper/wood,plastic;1;13.09.2018 14:52;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.912032;47.5332197;Antananarivo, Lalana Pasteur Rabary;household,non-household,;regular;;13.09.2018 14:52;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
7b804b5f-49e6-4199-a3d8-4de9e28d1489;trashpoint;2-4650ca201d55496d9cad5f948dd09906;Arad, DJ682F;handful;RO;RO.AR;;,other,textiles/shoes/carpets,biological/paper/wood,plastic;1;13.09.2018 14:57;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;46.1975267;21.23899;Arad, DJ682F;construction and demolition;regular;;13.09.2018 14:57;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
4c694dd7-8e9e-4685-8f54-ceb2ca6a243d;trashpoint;2-ead415a804fb03b56cf72a679fdefbcd;Antananarivo, Lalana Pasteur Rabary;bagful;MG;;;,textiles/shoes/carpets,plastic,glass;1;13.09.2018 14:58;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9129249;47.5332197;Antananarivo, Lalana Pasteur Rabary;household;regular;;13.09.2018 14:59;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
84e7b0dd-ad15-4ce7-8aa5-9e7e853ca60f;trashpoint;2-32e2935f7773d2a177318cfbecbb3208;Timișoara, Strada Ion Inculeț, 4;cartload;RO;RO.TM;;,other,electronics,textiles/shoes/carpets,biological/paper/wood,plastic,glass;1;13.09.2018 14:59;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;45.7702505;21.2171741;Timișoara, Strada Ion Inculeț, 4;household,non-household,construction and demolition;regular;;13.09.2018 14:59;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE
e11a9566-919a-438e-a87c-4448f9b68990;trashpoint;2-3f61f88f348b9de7af608f965642c36d;Timișoara, Strada Învățătorului, 1;cartload;RO;RO.TM;;,other,textiles/shoes/carpets,biological/paper/wood,plastic,ceramic/bricks,glass;1;13.09.2018 15:00;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;45.7700454;21.2163532;Timișoara, Strada Învățătorului, 1;household,non-household,construction and demolition;regular;;13.09.2018 15:00;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
72b2d03f-9dd9-4e40-94d8-a642a787153a;trashpoint;2-3cf4251dbd3b10a95b16d2779e671be6;, DJ682F;handful;RO;RO.AR;;,other,toxic/chemicals,biological/paper/wood,plastic;1;13.09.2018 15:06;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;46.1879001;21.2371091;, DJ682F;household;regular;;13.09.2018 15:06;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE
3ae29749-db69-41d5-9bb8-7c37db199565;trashpoint;2-dcab4e33251267d1084db90ff584f2d5;Dhaka;handful;BD;;;,textiles/shoes/carpets;1;13.09.2018 15:06;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;23.7620542;90.3588654;Dhaka;household;regular;;13.09.2018 15:07;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
09ffee17-f243-4992-ae88-fa186fe31f69;trashpoint;4-9e18d5854d30f590bb833165d9e2e10f;Germersheim, Gustel-Töpfer-Straße, 26;bagful;DE;;;,other,metal,plastic,glass;1;13.09.2018 15:14;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;49.2110102;8.362088;Germersheim, Gustel-Töpfer-Straße, 26;household;regular;;13.09.2018 15:18;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
